tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class,poi_count_pendidikan,dist_nearest_pendidikan,poi_count_kesehatan,dist_nearest_kesehatan,poi_count_komersial,dist_nearest_komersial,poi_count_katering,dist_nearest_katering,poi_count_finansial,dist_nearest_finansial,poi_count_olahraga,dist_nearest_olahraga,transit_accessibility,norm_pendidikan,norm_kesehatan,norm_komersial,norm_katering,norm_finansial,norm_olahraga,service_accessibility,accessibility_score
10101152065_1849525943_STOP566,1,9.3,9.3,9.3,Riau Serayu,Jalan L.L. RE. Martadinata,secondary,-6.909022986498886,107.62498024921042,Sangat Dekat (<200m),1,255.2,2,91.1,16,27.7,32,46.3,6,98.7,0,569.8,0.988375,0.3333333333333333,0.6666666666666666,0.64,0.6808510638297872,0.42857142857142855,0.0,0.4582370820668693,0.7233
10101152065_1849525943_STOP664,1,58.8,58.8,58.8,Pasar Cihapit 1,Jalan L.L. RE. Martadinata,secondary,-6.907514299999994,107.6233077,Sangat Dekat (<200m),0,414.9,1,164.8,22,32.7,35,39.3,9,102.3,0,522.0,0.9265,0.0,0.3333333333333333,0.88,0.7446808510638298,0.6428571428571429,0.0,0.4334785545423843,0.68
10101152065_2520790639_STOP663,2,27.75,3.1,52.4,Polsek Bandung Wetan 1,Jalan Cihapit,tertiary,-6.908730117455993,107.62134658372186,Sangat Dekat (<200m),0,410.2,1,358.4,20,21.5,36,124.2,13,47.1,2,267.1,0.9653125,0.0,0.3333333333333333,0.8,0.7659574468085106,0.9285714285714286,1.0,0.6379770347855455,0.8016
10101152065_2520790639_STOP664,2,34.05,9.3,58.8,Pasar Cihapit 1,Jalan Cihapit,tertiary,-6.90764914395767,107.62312638141007,Sangat Dekat (<200m),0,405.3,1,174.9,24,53.2,34,47.0,9,112.1,0,496.9,0.9574375,0.0,0.3333333333333333,0.96,0.723404255319149,0.6428571428571429,0.0,0.44326578858493754,0.7004
10101152065_2520790639_STOP693,1,40.7,40.7,40.7,Pasar Cihapit 2,Jalan Cihapit,tertiary,-6.908050166644426,107.62257985072848,Sangat Dekat (<200m),1,385.6,1,220.6,22,11.9,33,12.3,9,143.7,0,421.4,0.949125,0.3333333333333333,0.3333333333333333,0.88,0.7021276595744681,0.6428571428571429,0.0,0.4819419115163796,0.7155
10101152065_2520790639_STOP694,2,46.95,23.2,70.7,Polsek Bandung Wetan 2,Jalan Cihapit,tertiary,-6.908143758329117,107.62193197198854,Sangat Dekat (<200m),0,414.3,1,291.3,23,18.9,36,32.0,13,71.1,1,359.3,0.9413125,0.0,0.3333333333333333,0.92,0.7659574468085106,0.9285714285714286,1.0,0.6579770347855455,0.7996
10101152065_6639564151_STOP154,2,27.200000000000003,24.3,30.1,Ditjen Bina Konstruksi Kementerian PU,Jalan L.L. RE. Martadinata,secondary,-6.906986891012478,107.62288250731211,Sangat Dekat (<200m),0,483.7,1,237.8,23,51.9,35,20.7,8,68.7,0,524.8,0.966,0.0,0.3333333333333333,0.92,0.7446808510638298,0.5714285714285714,0.0,0.42824045930428917,0.6971
10101152065_6639564151_STOP508,1,46.0,46.0,46.0,Pengadilan Negeri Bandung,Jalan L.L. RE. Martadinata,secondary,-6.906533889790846,107.62238294580902,Sangat Dekat (<200m),0,434.4,2,312.8,24,29.5,42,57.5,13,27.8,0,526.7,0.9425,0.0,0.6666666666666666,0.96,0.8936170212765957,0.9285714285714286,0.0,0.5748091860857819,0.7587
10101152065_6639564151_STOP509,2,27.7,3.8,51.6,Seberang Pengadilan Negeri Bandung,Jalan L.L. RE. Martadinata,secondary,-6.906198986604025,107.62179580635026,Sangat Dekat (<200m),1,368.6,3,279.1,22,58.4,43,47.0,16,85.2,0,522.9,0.965375,0.3333333333333333,1.0,0.88,0.9148936170212766,1.0,0.0,0.6880378250591016,0.8267
10101152065_6639564151_STOP664,1,58.8,58.8,58.8,Pasar Cihapit 1,Jalan L.L. RE. Martadinata,secondary,-6.907514299999994,107.6233077,Sangat Dekat (<200m),0,414.9,1,164.8,22,32.7,35,39.3,9,102.3,0,522.0,0.9265,0.0,0.3333333333333333,0.88,0.7446808510638298,0.6428571428571429,0.0,0.4334785545423843,0.68
