name,lat,lon
Karapitan Emung,-6.9270695,107.6168104
Hotel Santika,-6.9072012,107.6119337
Taman Vanda,-6.9139939,107.6100259
SPBU Paskal,-6.8978443,107.5972499
Gereja Santo Laurentius,-6.8756183,107.5960099
Gerbang Utara ITB,-6.8876862,107.6105329
Jalan Salam,-6.9088504,107.6283345
Jalan Suren,-6.9088189,107.6282322
Seberang Telkom Supratman,-6.9063094,107.6296222
Stadion Siliwangi,-6.9111882,107.6184783
JPO Cibangkong,-6.9279941,107.6368253
RSGM Kota Bandung,-6.9064225,107.6144019
Yayasan Taruna Bakti,-6.9061442,107.6183806
HKBP Riau,-6.9087381,107.6245675
Riau Aceh,-6.9098034,107.625702
TK Taruna Bakti,-6.9058903,107.6195327
Seberang Hotel Grand Tebu,-6.913524,107.6290717
Graha Pos,-6.9061971,107.6173413
Heritage,-6.9061,107.6174072
Riau Serayu,-6.9089973,107.6250595
De Pavilijoen,-6.9059305,107.6207208
Jalan Putri,-6.9229597,107.6214036
Aceh Taman Pramuka,-6.9103166,107.6256125
Simpang Reog - Martanegara 2,-6.9341861,107.6327112
Simpang Talaga Bodas - Patuha,-6.9287798,107.6238453
Simpang Talaga Bodas - Terusan Galunggung,-6.9291283,107.6248368
Seberang Trans Studio Mall,-6.9274681,107.6354788
Seberang STIE Pasundan,-6.9321591,107.6347708
Tugu PKK Citarum,-6.9017801,107.6248834
Seberang SMAN 20 Bandung,-6.904583,107.6225787
Utara Simpang Lombok Aceh,-6.9085186,107.6190478
