place_id,name,lat,lon,rating,total_reviews,category,types,nearest_stop,stop_lat,stop_lon
ChIJZ7P9wkLoaC4RoGpMFn_PnTs,Yogya Learning Center,-6.949656099999999,107.6344845,3.8,67,komersial,"department_store,establishment,food,grocery_or_supermarket,point_of_interest",Swadarma BNI,-6.950362,107.6358162
ChIJ12kTgkboaC4RH5cc3lz9vIg,Bhisa - Bhinneka Shuttle Buah Batu,-6.960503399999999,107.6392034,4.3,3813,lainnya,"establishment,point_of_interest",Bluebird B,-6.9584133,107.6395287
ChIJ1SvSKU_oaC4R8bzmYdzkV_8,SPBU Pertamina Buah Batu,-6.9605486,107.6386989,4.2,1367,lainnya,"establishment,gas_station,point_of_interest",Bluebird B,-6.9584133,107.6395287
ChIJzXj4107oaC4RKLAJoAVJCLE,Pool Bluebird Bigbird Buah Batu,-6.9577012,107.6391523,4.3,1106,lainnya,"establishment,point_of_interest",Bluebird B,-6.9584133,107.6395287
ChIJlaEyCUboaC4Rwm52wjsj3rc,JNE Terusan Buah Batu,-6.9571519,107.6396639,4.2,203,lainnya,"establishment,point_of_interest",Bluebird B,-6.9584133,107.6395287
ChIJYUrLG1LoaC4R9oOP-gBKqHo,PT. Arkamaya,-6.9590236,107.640255,4.9,79,lainnya,"establishment,point_of_interest",Bluebird B,-6.9584133,107.6395287
ChIJQ4tQd0zoaC4R_It43rZwaNg,CV Bagja Niaga Teknik (BNT),-6.963763300000001,107.6391622,4.8,128,komersial,"establishment,point_of_interest,store",Puskesmas Kujangsari B,-6.9649738,107.6381537
ChIJc0tfgjLmaC4RntqMk7XvqHE,Samudra Catering,-6.964533899999999,107.6391782,4.5,70,katering,"establishment,food,point_of_interest",Puskesmas Kujangsari B,-6.9649738,107.6381537
ChIJfxh96kzoaC4RguH1stAapy4,Jasawebsite.Biz - Jasa Pembuatan Website Bandung,-6.9650722,107.6388771,4.8,39,lainnya,"establishment,point_of_interest",Puskesmas Kujangsari B,-6.9649738,107.6381537
ChIJo-ixeGfmaC4RBpXSokQdlKU,Zest Sukajadi Bandung by Swiss-Belhotel International,-6.8953146,107.5974623,4.5,5745,lainnya,"establishment,lodging,point_of_interest",Cibarengkok,-6.8960705,107.5971627
ChIJCyyrf13maC4RzdrnhekYumI,Laboratorium Kesehatan Provinsi Jawa Barat,-6.8957296,107.5978115,4.7,617,kesehatan,"establishment,health,point_of_interest",Cibarengkok,-6.8960705,107.5971627
ChIJ_dYQ7WfmaC4R86OfHkI4A0U,Gedung Dakwah Muhammadiyah Sukajadi,-6.896643399999999,107.5970064,4.5,217,katering,"establishment,food,mosque,place_of_worship,point_of_interest",Cibarengkok,-6.8960705,107.5971627
ChIJz-l_iGfmaC4RNW5bIzwIedQ,Minang Raya,-6.8960513,107.5971063,4.0,62,katering,"establishment,food,point_of_interest,restaurant",Cibarengkok,-6.8960705,107.5971627
ChIJu9e67WfmaC4RJNP58qnIkRM,Alfamart Sang Surya,-6.8967278,107.5969903,3.0,46,komersial,"convenience_store,establishment,food,point_of_interest,store",Cibarengkok,-6.8960705,107.5971627
ChIJr8LAK7f8aC4RFAgksf1ccQM,Sindang Reret Restaurant Bandung,-6.898938599999999,107.6198601,4.4,5261,katering,"establishment,food,point_of_interest,restaurant",Jalan Merak,-6.8991893,107.6204455
ChIJM0vnO03maC4RX4H4zjvkiRU,C59,-6.898600999999999,107.6204893,4.5,377,komersial,"clothing_store,establishment,point_of_interest,store",Jalan Merak,-6.8991893,107.6204455
ChIJyT0gTbLnaC4RRC0RueWEdFs,JNE Gasibu,-6.898973799999999,107.6200968,4.4,328,lainnya,"establishment,point_of_interest",Jalan Merak,-6.8991893,107.6204455
