edge_id,name,highway,lat,lon
25433599_1849528737,Jalan Purnawarman,tertiary,-6.904554742513633,107.60944440983371
25433599_1849528737,Jalan Purnawarman,tertiary,-6.904104629481536,107.60948383415875
25433599_1849528737,Jalan Purnawarman,tertiary,-6.903654583490782,107.6095240256988
25433599_1849528737,Jalan Purnawarman,tertiary,-6.903205551905476,107.60957348354384
25433599_1849528737,Jalan Purnawarman,tertiary,-6.9027799995070245,107.60972187971406
25433599_10793008254,Jalan L.L. RE. Martadinata,secondary,-6.906808899999994,107.6093359
25433599_10793008254,Jalan L.L. RE. Martadinata,secondary,-6.9068757666360625,107.60978298217414
25433599_10793008254,Jalan L.L. RE. Martadinata,secondary,-6.906941999534893,107.61023023256409
25433599_364365279,Jalan Purnawarman,tertiary,-6.906808899999994,107.6093359
25433599_364365279,Jalan Purnawarman,tertiary,-6.907260578979074,107.6093474042645
25433599_364365279,Jalan Purnawarman,tertiary,-6.90771220838697,107.60936048880912
25433599_364365279,Jalan Purnawarman,tertiary,-6.908163807261024,107.60937461485351
25433599_364365279,Jalan Purnawarman,tertiary,-6.9086155564298,107.60938209355454
25433599_364365279,Jalan Purnawarman,tertiary,-6.909058980690046,107.60933545679897
25433599_364365279,Jalan Purnawarman,tertiary,-6.909155155817075,107.60892735451417
25433661_2325451442,Jalan dr. Rajiman,primary,-6.904185399999996,107.60244660000001
25433661_3269294963,Jalan Abdul Rivai,primary,-6.904185399999996,107.60244660000001
25433670_364364130,Jalan Raden Adipati Aria Wiranatakusumah,primary,-6.904266999999999,107.6029269
25433670_364364130,Jalan Raden Adipati Aria Wiranatakusumah,primary,-6.903905286153179,107.60304859274218
25433670_364364130,Jalan Raden Adipati Aria Wiranatakusumah,primary,-6.90346145159826,107.60296433573211
25433670_364364130,Jalan Raden Adipati Aria Wiranatakusumah,primary,-6.9030379345133435,107.6028119346828
25433670_10793008397,Jalan Abdul Rivai,primary,-6.904266999999999,107.6029269
25433670_10793008397,Jalan Abdul Rivai,primary,-6.9043100549903755,107.60337475233892
25433670_10793008397,Jalan Abdul Rivai,primary,-6.904299980714549,107.60382677416752
25433670_10793008397,Jalan Abdul Rivai,primary,-6.904289639718676,107.60427878948504
25433677_2012565708,Jalan Raden Adipati Aria Wiranatakusumah,primary,-6.902381999999996,107.602401
25433677_2012565708,Jalan Raden Adipati Aria Wiranatakusumah,primary,-6.901931072897936,107.60237314963497
25433677_2012565708,Jalan Raden Adipati Aria Wiranatakusumah,primary,-6.901480353913396,107.60234135846713
25433677_2012565708,Jalan Raden Adipati Aria Wiranatakusumah,primary,-6.901029064854984,107.60231938950538
25433677_2012565708,Jalan Raden Adipati Aria Wiranatakusumah,primary,-6.900577891065019,107.60229500083113
25433683_11138589127,Jalan dr. Cipto,secondary,-6.906746000000005,107.5987941
25433683_11138589127,Jalan dr. Cipto,secondary,-6.9065496552539525,107.59920081692906
25433683_11138589127,Jalan dr. Cipto,secondary,-6.906286672046704,107.59956781873933
25433683_11138589127,Jalan dr. Cipto,secondary,-6.906016539134612,107.59993024315568
25433683_11138589127,Jalan dr. Cipto,secondary,-6.905734478999712,107.60028346350636
25433683_11138589127,Jalan dr. Cipto,secondary,-6.905461135768941,107.60064334551517
25433683_11138589127,Jalan dr. Cipto,secondary,-6.905194818154436,107.6010085965989
25433683_25433684,Jalan Pajajaran,primary,-6.906746000000005,107.5987941
25433683_25433684,Jalan Pajajaran,primary,-6.9068091824638325,107.59924171765336
25433684_29356178,Jalan Mochammad Yunus,tertiary,-6.906834099999998,107.599567
25433684_29356178,Jalan Mochammad Yunus,tertiary,-6.90728534845304,107.59954390618292
25433684_29356178,Jalan Mochammad Yunus,tertiary,-6.907736610750317,107.59952109017978
25433684_29356178,Jalan Mochammad Yunus,tertiary,-6.908187853201408,107.59949821118263
25433684_29356178,Jalan Mochammad Yunus,tertiary,-6.908639439404467,107.59948706627219
25433684_6622103728,Jalan Pajajaran,primary,-6.906834099999998,107.599567
25433684_6622103728,Jalan Pajajaran,primary,-6.906862573383491,107.60001823874717
25433684_6622103728,Jalan Pajajaran,primary,-6.906892823475717,107.60046936215416
25433684_6622103728,Jalan Pajajaran,primary,-6.906924623331308,107.600920377279
25433684_6622103728,Jalan Pajajaran,primary,-6.906959012198851,107.60137120333091
25433684_6622103728,Jalan Pajajaran,primary,-6.906992777991848,107.60182207583391
25433684_6622103728,Jalan Pajajaran,primary,-6.907028199376545,107.6022728214685
25433684_6622103728,Jalan Pajajaran,primary,-6.907062758487317,107.60272363423373
25433684_6622103728,Jalan Pajajaran,primary,-6.907095916892472,107.6031745424547
