tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class
1013431927_7856163872_STOP307,3,50.4,11.7,94.7,Toko Mas ABC,Jalan Kepatihan,tertiary,-6.923153614920466,107.60438585909536,Sangat Dekat (<200m)
1013431927_7856163872_STOP318,4,88.225,53.6,122.2,Grand Yogya Kepatihan,Jalan Kepatihan,tertiary,-6.923222093303824,107.60587857437612,Sangat Dekat (<200m)
1013431927_7990471529_STOP307,1,11.7,11.7,11.7,Toko Mas ABC,Jalan Otto Iskandardinata,primary,-6.923115199999993,107.6039369,Sangat Dekat (<200m)
10134513808_10125575435_STOP121,1,199.7,199.7,199.7,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947189700000003,107.5951948,Sangat Dekat (<200m)
10134513808_3272382565_STOP121,1,199.7,199.7,199.7,Leuwipanjang Soekarno Hatta,Jalan Leuwi Panjang,primary,-6.947189700000003,107.5951948,Sangat Dekat (<200m)
10134513809_10134513808_STOP121,1,205.1,205.1,205.1,Leuwipanjang Soekarno Hatta,Jalan Raya Cibaduyut,primary,-6.947381300000004,107.5951905,Dekat (200-400m)
10134513809_10816174969_STOP121,1,205.1,205.1,205.1,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947381300000004,107.5951905,Dekat (200-400m)
1014721714_1014722257_STOP22,4,187.95,169.2,216.0,Sekolah Ganesha,Jalan Pelindung Hewan,tertiary,-6.9400464937161415,107.60490137855349,Sangat Dekat (<200m)
1014721714_1014722257_STOP593,3,124.2,89.4,162.4,Mohammad Toha Pelindung Hewan,Jalan Pelindung Hewan,tertiary,-6.940763028158899,107.6060700917576,Sangat Dekat (<200m)
1014721714_5353902941_STOP22,4,280.975,216.0,348.1,Sekolah Ganesha,,tertiary,-6.940230370095692,107.60397903314204,Dekat (200-400m)
