tas_nit_id,sentiment_score,avg_rating,n_reviews_total,n_places,positive_ratio,negative_ratio,categories,street_name
10680268006_1837401657_STOP799,0.575,3.2,5,1,0.6,0.4,lainnya,Jalan Rajawali Timur
10696379242_6715130340_STOP468,0.76,4.2,5,1,0.8,0.2,komersial,Jalan Buah Batu
10703340255_5465993094_STOP265,0.55,3.4,5,1,0.6,0.2,lainnya,Jalan Ir. H. Djuanda
10778288301_5852700917_STOP7,0.727,4.0,5,1,0.8,0.2,lainnya,Jalan Asia Afrika
10793008254_6622030455_STOP305,0.94,5.0,5,1,1.0,0.0,finansial,Jalan Ir. H. Djuanda
10793008258_11727886518_STOP283,0.705,4.0,5,1,0.6,0.2,kesehatan,Jalan L.L. RE. Martadinata
10793008258_11727886518_STOP558,0.92,5.0,5,1,1.0,0.0,kesehatan,Jalan L.L. RE. Martadinata
10825681737_10825681738_STOP597,0.545,3.2,10,2,0.5,0.4,"katering,komersial",Jalan Jenderal Gatot Subroto
10825681737_5395151866_STOP557,0.8775,4.5,10,2,0.9,0.1,"finansial,komersial",Jalan Jenderal Gatot Subroto
10825681737_5395151866_STOP597,0.7364,4.1,10,2,0.8,0.2,lainnya,Jalan Jenderal Gatot Subroto
1083569114_1575311287_STOP128,0.61,3.4,5,1,0.6,0.4,komersial,Jalan Sarimanah
1083569114_1575311287_STOP391,0.718,4.2,10,2,0.7,0.2,"katering,komersial",Jalan Sarimanah
1083569114_5646605222_STOP391,0.691,4.0,15,3,0.7333,0.2,"komersial,katering",Jalan Perintis
11028882122_11207093319_STOP786,0.89,4.6,5,1,1.0,0.0,lainnya,
11041545704_11041545701_STOP218,0.63,3.8,5,1,0.6,0.2,katering,Jalan H. Ibrahim Adjie
11041579712_11041545704_STOP218,0.82,4.2,5,1,0.8,0.2,lainnya,Jalan H. Ibrahim Adjie
1107494473_1108674456_STOP740,0.915,4.8,5,1,1.0,0.0,lainnya,Jalan Rajamantri Wetan
1107494473_3068325990_STOP710,0.85,4.6,10,2,0.9,0.1,lainnya,Jalan Karawitan
1107494473_4146694789_STOP737,0.9067,5.0,5,1,1.0,0.0,lainnya,"['Jalan Salendro', 'Jalan R.A.A. Martanegara']"
1107494473_4146694789_STOP740,0.74,4.2,5,1,0.8,0.2,lainnya,"['Jalan Salendro', 'Jalan R.A.A. Martanegara']"
1107865374_1107865397_STOP655,0.922,5.0,5,1,1.0,0.0,lainnya,Jalan Malabar
1107865374_1107865397_STOP656,0.605,3.6,5,1,0.6,0.2,katering,Jalan Malabar
1107865397_2607816746_STOP580,0.76,4.2,5,1,0.8,0.0,katering,Jalan Talaga Bodas
1107865397_6469653354_STOP733,0.92,5.0,5,1,1.0,0.0,katering,Jalan Talaga Bodas
1108653643_6470450620_STOP568,0.4075,2.5,10,2,0.4,0.6,"kesehatan,komersial",Jalan Jenderal Gatot Subroto
1108653643_6470450620_STOP657,0.93,5.0,10,2,1.0,0.0,lainnya,Jalan Jenderal Gatot Subroto
1108653643_6470450620_STOP836,0.5867,3.4,5,1,0.6,0.4,lainnya,Jalan Jenderal Gatot Subroto
11104669201_11262097537_STOP102,0.87,4.6,15,3,0.9333,0.0667,"rekreasi,finansial,lainnya",Jalan Ganesha
11104669201_11262097537_STOP515,0.96,5.0,5,1,1.0,0.0,kesehatan,Jalan Ganesha
11104669201_11262097537_STOP516,0.8875,4.9,10,2,1.0,0.0,lainnya,Jalan Ganesha
11104669201_1663274645_STOP514,0.764,4.2,5,1,0.8,0.2,katering,Jalan Ir. H. Djuanda
11104669202_10654541236_STOP161,0.5445,3.1,10,2,0.5,0.5,"kesehatan,komersial",Jalan Ir. H. Djuanda
11106971279_9443702027_STOP356,0.77,4.4,10,2,0.8,0.0,komersial,Jalan Soekarno-Hatta
11106971279_9443702027_STOP423,0.82,4.6,10,2,0.9,0.1,"pendidikan,lainnya",Jalan Soekarno-Hatta
11107827260_1849525794_STOP713,0.2933,1.8,5,1,0.2,0.8,finansial,Jalan Naripan
